userId,movieId,rating,timestamp
1,40,1.0,1425941529
1,423,4.5,1425942435
1,75,5.0,1425941523
1,1344,5.0,1425941556
1,243,4.0,1425942148
1,342,4.5,1425941300
1,1411,4.0,1425941601
1,1813,4.0,1425942228
1,1902,3.5,1425941313
1,2011,4.0,1425942007
1,1713,5.0,1425941382
2,3,3.0,867039249
2,1242,3.0,867039168
2,1292,3.0,867039325
2,771,4.0,867039612
2,905,4.0,867039325
2,673,3.0,867039168
2,136,4.0,867039249
2,207,5.0,867041296
2,220,4.0,867041121
2,870,4.0,867039973
2,31,4.0,867039325
2,896,4.0,867039167
2,157,3.0,867039325
2,878,3.0,867039165
2,566,1.0,867039249
2,68,1.0,867039288
2,520,2.0,867040735
3,701,3.0,1048076925
3,151,2.0,1048076945
3,36,4.0,1048076900
3,75,4.0,1048076945
3,174,3.0,1048076995
3,243,3.0,1048077048
3,836,3.0,1048076830
3,1294,3.0,1048077030
4,123,4.0,1042668576
4,255,4.0,1042667925
4,896,4.0,1042674800
4,1326,4.0,1042674861
4,573,3.0,1042674787
4,667,3.0,1042674845
4,98,4.0,1042674787
4,1773,3.0,1042674761
4,27,4.0,1042674761
4,433,4.0,1042668589
4,936,5.0,1042667945
4,1380,4.0,1042668559
4,1785,4.0,1042672531
4,1534,1.0,1042668544
4,342,5.0,1042672546
4,1307,3.0,1042672352
4,1859,1.0,1042668521
4,498,5.0,1042672580
4,1742,4.0,1042672335
4,1615,4.0,1042674436
4,1959,4.0,1042672283
4,1813,3.0,1042674412
4,1148,4.0,1042667845
5,230,2.0,949423787
5,826,4.0,949424343
5,538,5.0,949424321
5,1078,5.0,949424271
5,75,5.0,949424168
5,1683,5.0,949424374
5,35,5.0,949424321
5,248,2.0,949424522
5,407,5.0,949423938
5,498,4.0,949423938
6,33,3.0,944894480
6,716,4.0,944894144
7,469,5.0,1486253647
7,600,4.0,1486253595
7,1411,4.5,1486253602
7,1148,4.5,1486253687
7,729,5.0,1486253608
7,1098,4.0,1486253703
7,1533,4.5,1486253705
7,1263,2.0,1486253729
7,1688,4.0,1486253719
7,829,2.5,1486253617
7,403,2.5,1486253796
7,1329,3.0,1486253891
7,754,2.5,1486253738
7,1236,2.0,1486253798
7,1653,3.0,1486253787
7,1757,4.0,1486253880
7,1902,3.5,1486253805
7,2011,5.0,1486253675
7,2058,3.0,1486253695
7,1878,1.5,1486253974
8,821,3.0,1013442544
8,600,5.0,1013444101
8,942,4.0,1013442902
8,674,2.0,1013443939
8,1231,4.0,1013442921
8,221,4.0,1013444101
8,242,2.0,1013443487
8,197,2.0,1013443752
8,429,4.0,1013442544
8,496,4.0,1013444101
8,1358,3.0,1013442825
8,1492,5.0,1013443659
8,1142,1.0,1013443848
8,1061,4.0,1013443698
8,508,3.0,1013443867
8,800,4.0,1013443848
8,891,3.0,1013443939
8,1039,2.0,1013442853
8,914,1.0,1013444101
8,1992,1.0,1013443596
8,920,2.0,1013444013
8,288,3.0,1013443867
